                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.4293,                  1.269,                  1.263,                 0.8495,                0.80235,                 0.8766,                0.68856,                 1.2954,                 1.1496,                 1.4103,              0.0015804,              0.0015804,              0.0015804
                    108,                 1.4108,                 1.1913,                 1.4057,                0.79454,                0.72383,                0.87941,                0.47063,                 1.2109,                 1.1009,                 1.3512,              0.0015795,              0.0015795,              0.0015795
                    109,                 1.3951,                 1.2606,                 1.2079,                0.70112,                0.74912,                0.87612,                0.45756,                 1.2559,                 1.1578,                 1.3771,              0.0015787,              0.0015787,              0.0015787
                    110,                 1.3459,                 1.1745,                 1.2423,                0.54171,                 0.8269,                0.88146,                0.70982,                 1.1882,                 1.0948,                 1.3437,              0.0015779,              0.0015779,              0.0015779
                    111,                 1.3738,                 1.1176,                 1.2316,                0.78899,                0.64827,                0.86887,                0.74159,                 1.2849,                 1.2013,                 1.3784,              0.0015771,              0.0015771,              0.0015771
                    112,                 1.3621,                 1.0751,                 1.2392,                0.60653,                0.82421,                 0.8626,                0.53566,                 1.2738,                 1.0967,                 1.3845,              0.0015762,              0.0015762,              0.0015762
                    113,                 1.3995,                 1.0776,                 1.2433,                0.83467,                0.76317,                0.87301,                0.38581,                   1.32,                 1.0823,                 1.4297,              0.0015754,              0.0015754,              0.0015754
                    114,                 1.3544,                 1.1016,                 1.3829,                0.87772,                0.78986,                0.88473,                0.44963,                 1.3222,                0.99499,                 1.4273,              0.0015746,              0.0015746,              0.0015746
                    115,                 1.3835,                 1.0306,                 1.2686,                0.93076,                 0.7877,                0.88655,                0.50378,                 1.2622,                 1.0372,                 1.3944,              0.0015738,              0.0015738,              0.0015738
                    116,                 1.4301,                 1.0893,                 1.2932,                 0.8993,                0.81159,                0.87122,                0.54702,                 1.2142,                 1.0665,                 1.3882,              0.0015729,              0.0015729,              0.0015729
                    117,                  1.269,                 1.0254,                 1.2917,                0.94634,                0.76051,                0.87837,                0.61059,                  1.181,                 1.0585,                 1.3607,              0.0015721,              0.0015721,              0.0015721
                    118,                 1.3296,                  1.075,                 1.3716,                0.88646,                0.76258,                0.88029,                0.69166,                 1.2435,                 1.1066,                  1.388,              0.0015713,              0.0015713,              0.0015713
